#separator: tab
#html:true
ウェイ	way
出所 | でどころ	origin; source; authority, birthplace
こもり	nursemaid; nanny; babysitter, child-minding; babysitting
話中 | はなしちゅう	busy (phone)
飛び降りる | と, お	to jump down; to jump off; to jump from; to jump out of
むしろ	rather; better; instead
麻痺 | まひ	paralysis; palsy; numbness; stupor
あま	nun, bitch
縄張り | なわば	roping off; stretching rope; demarcation, one's turf; domain; territory; sphere of influence
#separator: tab
#html:true
時間 | じかん	time, hours (period of)
学校 | がっこう	school
大学 | だいがく	post-secondary education institution, incl. university, college, etc., former central university of Kyoto (established under the ritsuryo system for the training of government administrators)
一つ | ひと	one, for one thing
名前 | なまえ	name; full name, given name; first name
電話 | でんわ	telephone call; phone call, telephone (device); phone
三 | さん	three, tri-
今日 | きょう	today; this day, these days; recently; nowadays
出す | だ	to take out; to get out, to put out; to reveal; to show
国 | くに	country; state, region
午後 | ごご	afternoon; p.m.
外国 | がいこく	foreign country
何 | なに	what, how many
電車 | でんしゃ	train; electric train
毎日 | まいにち	every day
高い | たか	high; tall, expensive
午前 | ごぜん	morning; a.m.
電気 | でんき	electricity, (electric) light
二つ | ふた	two
右 | みぎ	right; right hand side, afore-mentioned (esp. in vertical Japanese writing); foregoing; forgoing; above
毎年 | まいとし	every year; yearly; annually
南 | みなみ	south
高校 | こうこう	senior high school; high school
出る | で	to leave; to exit; to go out; to come out; to get out, to leave (on a journey); to depart; to start out; to set out
北 | きた	north, the North; northern territories
見る | み	to see; to look; to watch; to view; to observe, to look over; to look on; to assess; to examine; to judge
雨 | あめ	rain
川 | かわ	river; stream, the .... river; (suffix used with the names of rivers)
読む | よ	to read, to count
百 | ひゃく	100; hundred
長い | なが	long (distance), long (time); lengthy
後ろ | うし	back; behind; rear
三つ | みっ	three
天気 | てんき	weather; the elements, fair weather; fine weather
今年 | ことし	this year
白い | しろ	white
毎月 | まいつき	every month; each month; monthly
言う | い	to say; to utter; to declare, to name; to call
入学 | にゅうがく	entry to school or university; matriculation; enrolment (in university, etc.)
自分 | じぶん	myself; yourself; oneself; himself; herself, I; me
問題 | もんだい	question (e.g. on a test); problem, problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter
会社 | かいしゃ	company; corporation, workplace
使う | つか	to use (a thing, method, etc.); to make use of; to put to use, to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate
仕事 | しごと	work; job; business; occupation; employment; vocation; task, work
話す | はな	to talk; to speak; to converse; to chat, to tell; to explain; to narrate; to mention; to describe; to discuss
知る | し	to be aware of; to know; to be conscious of; to cognize; to cognise, to notice; to feel
意味 | いみ	meaning; significance
写真 | しゃしん	photograph; photo; picture; snapshot; snap, movie
家族 | かぞく	family; members of a family
映画 | えいが	movie; film
年間 | ねんかん	years (period of)
病院 | びょういん	hospital
食べる | た	to eat, to live on (e.g. a salary); to live off; to subsist on
中学 | ちゅうがく	middle school; junior high school
作る | つく	to make; to produce; to manufacture; to build; to construct, to prepare (food); to brew (alcohol)
新聞 | しんぶん	newspaper
音楽 | おんがく	music; musical movement
英語 | えいご	English (language)
少し | すこ	small quantity; little; few; something, little while
手 | て	hand; arm, forepaw; foreleg
大分 | だいぶ	considerably; greatly; a lot
千 | せん	1,000; thousand
人生 | じんせい	(human) life (i.e. conception to death)
銀行 | ぎんこう	bank
友人 | ゆうじん	friend
花 | はな	flower; blossom; bloom; petal, cherry blossom
動物 | どうぶつ	animal
今後 | こんご	from now on; hereafter
本人 | ほんにん	the person himself
四つ | よっ	four
休み | やす	rest; recess; respite, vacation; holiday; absence; suspension
見つかる | み	to be found; to be discovered
料理 | りょうり	cooking; cookery; cuisine, dealing with something; handling; administration; management
です	be; is
持つ | も	to hold (in one's hand); to take; to carry, to possess; to have; to own
広い | ひろ	spacious; vast; wide
旅行 | りょこう	travel; trip
質問 | しつもん	question; inquiry; enquiry
有名 | ゆうめい	famous, fame
町 | まち	town; block; neighbourhood; neighborhood, street; road
春 | はる	spring; springtime, New Year
魚 | さかな	fish
新しい | あたら	new; novel; fresh; recent; latest; up-to-date; modern
病気 | びょうき	illness; disease; sickness
海 | うみ	sea; ocean; waters
世界 | せかい	the world; society; the universe, sphere; circle; world
建物 | たてもの	building
思う | おも	to think; to consider; to believe, to think (of doing); to plan (to do)
気分 | きぶん	feeling; mood
勉強 | べんきょう	study, diligence
社会 | しゃかい	society; public; community; the world, social studies
特に | とく	particularly; especially
歌 | うた	song, classical Japanese poetry (esp. tanka)
時代 | じだい	period; epoch; era; age, the times; those days
駅 | えき	station
なお	furthermore; still; yet; more; still more; in addition; greater; further
手紙 | てがみ	letter
男子 | だんし	youth; young man
子供 | こども	child; children
走る | はし	to run, to travel (movement of vehicles); to drive
教室 | きょうしつ	classroom, department; laboratory
冬 | ふゆ	winter
長男 | ちょうなん	eldest son (may be the only son); first-born son
言葉 | ことば	language; dialect, word; words; phrase; term; expression; remark
兄弟 | きょうだい	siblings; brothers and sisters, brothers
買う | か	to buy; to purchase, to value; to have a high opinion
明日 | あした	tomorrow, near future
元気 | げんき	lively; full of spirit; energetic; vigorous; vital; spirited, healthy; well; fit; in good health
意見 | いけん	opinion; view; comment
犬 | いぬ	dog (Canis (lupus) familiaris), snoop (i.e. a detective, a spy, etc.)
売る | う	to sell
行う | おこな	to perform; to do; to conduct oneself; to carry out
見せる | み	to show; to display, to make (something or someone) look ...; to present an appearance of ...
研究 | けんきゅう	study; research; investigation
黒 | くろ	black, black go stone
語る | かた	to talk about; to speak of; to tell; to narrate, to recite; to chant
特別 | とくべつ	special
呼ぶ | よ	to call out (to); to call; to invoke, to summon (a doctor, etc.)
七 | しち	seven, hepta-
地図 | ちず	map
みんな	all; everyone; everybody, everything
部屋 | へや	room; chamber, apartment; flat; pad
気持ち | きも	feeling; sensation; mood, preparedness; readiness; attitude
送る | おく	to send (a thing); to dispatch; to despatch; to transmit, to take or escort (a person somewhere); to see off (a person)
先生 | せんせい	teacher; master; doctor, with names of teachers, etc. as an honorific
本来 | ほんらい	originally; primarily, essentially; naturally; by nature; in (and of) itself
少ない | すく	few; a little; scarce; insufficient; seldom
試験 | しけん	examination; test; study; trial; experiment
家庭 | かてい	home; family; household
一人 | ひとり	one person, alone; unmarried; solitary
学生 | がくせい	student (esp. a university student)
音 | おと	sound; noise; report, note
注意 | ちゅうい	caution; being careful; attention (heed); warning; advice
切る | き	to cut; to cut through; to perform (surgery), to sever (connections, ties)
分かる | わ	to understand; to comprehend; to grasp; to see; to get; to follow, to become clear; to be known; to be discovered; to be realized; to be realised; to be found out
社長 | しゃちょう	company president; manager; director
一緒 | いっしょ	together, at the same time
二人 | ふたり	two persons; two people; pair; couple
声 | こえ	voice
以下 | いか	not exceeding; and downward; ... and below, below (e.g. standard); under (e.g. a level)
公園 | こうえん	(public) park
人口 | じんこう	population, common talk
取る | と	to take; to pick up; to harvest; to earn; to win; to choose, to steal
空気 | くうき	air; atmosphere, mood; situation
早い | はや	fast; quick; hasty; brisk, early (in the day, etc.); premature
弟 | おとうと	younger brother; little brother; kid brother, pupil; apprentice
年 | とし	year, age; years
時計 | とけい	watch; clock; timepiece
漢字 | かんじ	Chinese characters; kanji
鳥 | とり	bird, bird meat (esp. chicken meat); fowl; poultry
生徒 | せいと	pupil
歌う | うた	to sing, to sing (one's praises in a poem, etc.); to compose a poem; to recite a poem
毎週 | まいしゅう	every week
肉 | にく	flesh, meat
車 | くるま	car; automobile; vehicle, wheel
以上 | いじょう	not less than; ... and more; ... and upwards, beyond ... (e.g. one's means); further (e.g. nothing further to say); more than ... (e.g. cannot pay more than that)
四 | よん	four
着る | き	to wear (in modern Japanese, from the shoulders down); to put on, to bear (guilt, etc.)
工場 | こうじょう	factory; plant; mill; workshop
木 | き	tree; shrub; bush, wood; timber
運動 | うんどう	exercise; physical training; work-out, appeal; campaign; drive; crusade; movement; lobbying
作品 | さくひん	work (e.g. book, film, composition, etc.); opus; performance; production
必要 | ひつよう	necessary; needed; essential; indispensable, necessity; need; requirement
用意 | ようい	preparation; arrangements; provision; getting ready; laying out (e.g. a meal)
古い | ふる	old (not person); aged; ancient; antiquated; stale; threadbare; outmoded; obsolete article
五つ | いつ	five
生活 | せいかつ	living; life (one's daily existence); livelihood
夕方 | ゆうがた	evening; dusk
海外 | かいがい	foreign; abroad; overseas
医者 | いしゃ	(medical) doctor; physician
いつ	when; how soon
食べ物 | た, もの	food
集める | あつ	to collect; to assemble; to gather
彼女 | かのじょ	she; her, her
話 | はなし	talk; speech; chat; story; conversation, discussions; negotiation; argument
近い | ちか	near; close; short (distance)
六 | ろく	six
十 | じゅう	ten
赤い | あか	red, Red (i.e. communist)
少年 | しょうねん	boy; juvenile; young boy; youth; lad
校長 | こうちょう	principal; headmaster
友達 | ともだち	friend; companion
場所 | ばしょ	place; location; spot; position, room; space
最後 | さいご	last; end; conclusion; latest; most recent, no sooner than; right after (often having negative consequences)
最初 | さいしょ	beginning; outset; first; onset
女の子 | おんな, こ	girl; daughter, young woman
全部 | ぜんぶ	all; entire; whole; altogether
今度 | こんど	this time; now, next time; another time; shortly; soon
両親 | りょうしん	parents; both parents
雑誌 | ざっし	journal; magazine; periodical
青 | あお	blue, green
女性 | じょせい	woman; female, feminine gender
結婚 | けっこん	marriage
計画 | けいかく	plan; project; schedule; scheme; program; programme
八 | はち	eight
一生 | いっしょう	whole life; a lifetime; all through life; one existence; a generation; an age; the whole world; the era, (the only, the greatest, etc.) of one's life
目的 | もくてき	purpose; goal; aim; objective; intention
説明 | せつめい	explanation; exposition
昼 | ひる	noon; midday, daytime
来年 | らいねん	next year
休む | やす	to be absent; to take a day off, to rest; to have a break
難しい | むずか	difficult; hard; troublesome; complicated; serious (disease, problem, etc.), fussy; particular; fastidious; hard to please; displeased
関係 | かんけい	relation; relationship; connection, participation; involvement; concern
予定 | よてい	plans; arrangement; schedule; program; programme; expectation; estimate
理由 | りゆう	reason; pretext; motive
選ぶ | えら	to choose; to select
立つ | た	to stand; to rise; to stand up, to find oneself (e.g. in a difficult position)
文化 | ぶんか	culture; civilization; civilisation, Bunka era (1804.2.11-1818.4.22)
九 | きゅう	nine
夏休み | なつやす	summer vacation; summer holiday
今 | いま	now; the present time; just now; soon; immediately; (one) more
会話 | かいわ	conversation
最近 | さいきん	most recent; these days; right now; recently; nowadays
運転 | うんてん	operation (of a machine, etc.); operating; running; run, driving
自由 | じゆう	freedom; liberty; as it pleases you
練習 | れんしゅう	practice; practising
明らか | あき	obvious; evident; clear; plain
文字 | もじ	letter (of alphabet); character, literal
待つ | ま	to wait, to await; to look forward to; to anticipate
会場 | かいじょう	assembly hall; meeting place; venue; grounds
きっかけ	chance; start; cue; excuse; motive; impetus; occasion
利用 | りよう	use; utilization; utilisation; application
変わる | か	to change; to be transformed; to be altered; to vary, to move to
読書 | どくしょ	reading
楽しい | たの	enjoyable; fun
警察 | けいさつ	police, police officer
使用 | しよう	use; application; employment; utilization; utilisation
考え | かんが	thinking; thought; view; opinion; concept, idea; notion; imagination
男の子 | おとこ, こ	boy; male child; baby boy
息子 | むすこ	son, penis
土地 | とち	plot of land; lot; soil, locality; region; place
入院 | にゅういん	hospitalization; hospitalisation
運ぶ | はこ	to carry; to transport; to move; to convey, to come; to go
安全 | あんぜん	safety, security
番組 | ばんぐみ	program (e.g. TV); programme
例えば | たと	for example; for instance; e.g.
母親 | ははおや	mother
大会 | たいかい	convention; tournament; mass meeting; rally
友 | とも	friend; companion; comrade; pal
父親 | ちちおや	father
番号 | ばんごう	number; series of digits
教会 | きょうかい	church
十分 | じゅうぶん	plenty; enough; sufficient; satisfactory; adequate, division into ten
作業 | さぎょう	work; operation; manufacturing; fatigue duty
黒い | くろ	black, dark
雪 | ゆき	snow
教育 | きょういく	training; education
今月 | こんげつ	this month
行動 | こうどう	action; conduct; behaviour; behavior; mobilization; mobilisation
開始 | かいし	start; commencement; beginning; initiation
急 | きゅう	urgent; sudden; abrupt, sharp; steep; precipitous
反対 | はんたい	opposition; resistance; antagonism; hostility; objection; dissension, reverse; opposite; vice versa; contrast
戦争 | せんそう	war
普通 | ふつう	general; ordinary; usual, normally; generally; usually
半ば | なか	middle; half; semi; halfway; partly
発見 | はっけん	discovery; detection; finding
途中 | とちゅう	on the way; en route, in the middle of; midway
耳 | みみ	ear, hearing
立場 | たちば	standpoint; position; situation
注目 | ちゅうもく	notice; attention; observation
横 | よこ	horizontal (as opposed to vertical); lying down, side-to-side (as opposed to front-to-back); width; breadth
原因 | げんいん	cause; origin; source
以前 | いぜん	ago; since; before; previous
新た | あら	new; fresh; novel
危険 | きけん	danger; peril; hazard, risk
電子 | でんし	electron, (esp. as a prefix) electronic; electronics
分野 | ぶんや	field; sphere; realm; division; branch
食事 | しょくじ	meal, to eat
物語 | ものがたり	tale; story; legend
場合 | ばあい	case; situation
授業 | じゅぎょう	lesson; class work; teaching; instruction
台風 | たいふう	typhoon; hurricane
学ぶ | まな	to study (in depth); to learn; to take lessons in
大いに | おお	very; much; greatly; a lot of
大好き | だいす	loveable; very likeable; like very much
無理 | むり	unreasonable; unnatural; unjustifiable, impossible
小説 | しょうせつ	novel; (short) story
人物 | じんぶつ	person; character; figure; personage; man; woman, one's character; one's personality
子 | こ	child, young (animal)
空港 | くうこう	airport
西 | にし	west
始まる | はじ	to begin; to start; to commence, to happen (again); to begin (anew)
必ず | かなら	always; without exception; necessarily; certainly; without fail; positively; invariably
日時 | にちじ	date and time
国家 | こっか	state; country; nation
相手 | あいて	companion; partner; company, other party; addressee
出身 | しゅっしん	person's origin (e.g. city, country, parentage, school)
外す | はず	to unfasten; to undo, to remove; to take off; to deinstall
押す | お	to push; to press, to apply pressure from above; to press down
政治 | せいじ	politics; government
男性 | だんせい	man; male, masculine gender
通る | とお	to go by; to go past; to go along; to travel along; to pass through; to use (a road); to take (a route); to go via; to go by way of, to run (between); to operate (between); to connect
会議 | かいぎ	meeting; conference; session; assembly; council; convention; congress
日 | ひ	day; days, sun; sunshine; sunlight
歴史 | れきし	history
卒業 | そつぎょう	graduation; completion (e.g. of a course), outgrowing something; moving on
大きい | おお	big; large; great; loud
緑 | みどり	green, greenery (esp. fresh verdure)
自然 | しぜん	nature, natural; spontaneous
母 | はは	mother
現在 | げんざい	now; current; present; present time; as of
同じ | おな	same; identical; equal; uniform; equivalent; similar; common (origin); changeless; alike, (usu. part of a 'nara' conditional) anyway; anyhow; in either case
同時 | どうじ	simultaneous; concurrent; same time; synchronous; together
少女 | しょうじょ	little girl; maiden; young lady; female usually between 7 and 18 years old, female between 17 and 20 years old (ritsuryo period)
紹介 | しょうかい	introduction; presentation; referral; listing
比べる | くら	to compare; to make a comparison, to compete; to vie
来る | く	to come (spatially or temporally); to approach; to arrive, to come back; to do ... and come back
文学 | ぶんがく	literature
経済 | けいざい	economics; business; finance; economy
大事 | だいじ	important; valuable; serious matter, safe (Tochigi dialect); OK
実際 | じっさい	practicality; practical, reality; actuality; actual conditions
部分 | ぶぶん	portion; section; part
無料 | むりょう	free; no charge
試合 | しあい	match; game; bout; contest
文章 | ぶんしょう	sentence; article; composition, (writing) style
連絡 | れんらく	to contact; to get in touch, contacting; getting in touch; communication; call; message
夢 | ゆめ	dream
半 | はん	half; semi-, half-past
窓 | まど	window
大半 | たいはん	majority; more than half; most (of), mostly; largely; mainly; predominately; nearly
科学 | かがく	science
会う | あ	to meet; to encounter; to see, to have an accident; to have a bad experience
長女 | ちょうじょ	eldest daughter; first-born daughter
野菜 | やさい	vegetable
選手 | せんしゅ	player (in game); team member
誰 | だれ	who
父 | ちち	father
簡単 | かんたん	simple; easy; uncomplicated, brief; quick; light
方法 | ほうほう	method; process; manner; way; means; technique
市民 | しみん	citizen; citizenry; public, city inhabitant; townspeople
技術 | ぎじゅつ	technology; engineering, technique; skill
火 | ひ	fire; flame; blaze
美しい | うつく	beautiful; lovely
期間 | きかん	period; term; interval
経験 | けいけん	experience
発行 | はっこう	issue (publications); publishing, raising an event (software)
庭 | にわ	garden; yard; courtyard, field (of action); area
法律 | ほうりつ	law
事故 | じこ	accident; incident; trouble, circumstances; reasons
当時 | とうじ	at that time; in those days
低い | ひく	low (rank, degree, value, content, quality, etc.), low (position); close to the ground
仕方 | しかた	way; method; means; resource; course
始め | はじ	beginning; start; outset; opening, first (in line, etc.)
失敗 | しっぱい	failure; mistake; blunder
情報 | じょうほう	information; news; intelligence; advices, information; data contained in characters, signals, code, etc.
国語 | こくご	national language, Japanese language (often as a school subject in Japan)
週 | しゅう	week
以来 | いらい	since; henceforth
行き | ゆ	bound for ..., going (to)
どこ	where; what place, how much (long, far); what extent
道路 | どうろ	road; highway
下り | くだ	down-train (going away from Tokyo), down-slope; downward going
作家 | さっか	author; writer; novelist; artist
出発 | しゅっぱつ	departure
地震 | じしん	earthquake
気 | き	spirit; mind; heart, nature; disposition
内容 | ないよう	subject; contents; matter; substance; detail; import
確認 | かくにん	confirmation; verification; validation; review; check; affirmation; identification
重い | おも	heavy; weighty; massive, heavy (feeling); depressed; gloomy; blue; uneasy
重要 | じゅうよう	important; momentous; essential; principal; major
事件 | じけん	event; affair; incident; case; plot; trouble; scandal
起こる | お	to occur; to happen
参加 | さんか	participation
可能 | かのう	potential; possible; practicable; feasible
昼間 | ひるま	daytime; during the day; time from sunrise until sunset; diurnal period
商品 | しょうひん	commodity; article of commerce; goods; stock; merchandise
方向 | ほうこう	direction; orientation; bearing; way, course (e.g. of action)
活動 | かつどう	action; activity; (military etc.) operation, movie (esp. during the silent movie period)
合う | あ	to come together; to merge; to unite; to meet, to fit; to match; to suit; to agree with; to be correct
料金 | りょうきん	fee; charge; fare
頼む | たの	to request; to beg; to ask, to call; to order; to reserve
静か | しず	quiet; silent, slow; unhurried
人気 | にんき	popularity; popular feeling; business conditions
時期 | じき	time; season; period; phase; stage, soon; shortly
自身 | じしん	by oneself; personally
位置 | いち	place; situation; position; location
村 | むら	village
機会 | きかい	chance; opportunity
種類 | しゅるい	variety; kind; type; category, counter for different sorts of things
産業 | さんぎょう	industry, livelihood; occupation
地下 | ちか	basement; cellar; underground place, underground; below ground
過去 | かこ	the past; bygone days; the previous, a past (i.e. a personal history one would prefer remained secret); one's past
不安 | ふあん	anxiety; uneasiness; insecurity; suspense
約束 | やくそく	promise; agreement; arrangement; one's word; contract; pact; appointment; engagement; date, convention; rule
起きる | お	to get up; to rise; to blaze up (fire), to wake up; to be awake; to stay awake
将来 | しょうらい	future (usually near); prospects
残す | のこ	to leave (behind, over); to bequeath; to save; to reserve
程度 | ていど	degree; amount; grade; standard; of the order of (following a number); about; approximately
楽しみ | たの	enjoyment; pleasure; diversion; amusement; hobby, anticipation; looking forward to
集中 | しゅうちゅう	concentration; convergence; centralization; integration; gathering together
住所 | じゅうしょ	address (e.g. of house); residence; domicile
読み | よ	reading
乗る | の	to get on (train, plane, bus, ship, etc.); to get in; to board; to take; to embark, to get on (e.g. a footstool); to step on; to jump on; to sit on; to mount
機能 | きのう	function; facility; faculty; feature
見学 | けんがく	inspection; study by observation; field trip
神社 | じんじゃ	Shinto shrine
一体 | いったい	...the heck (e.g. "what the heck?"); ...in the world (e.g. "why in the world?"); ...on earth (e.g. "who on earth?"), one object; one body; unity
今回 | こんかい	now; this time; lately
靴 | くつ	shoes; boots; footwear; footgear
便利 | べんり	convenient; handy; useful
青い | あお	blue; green, pale
箱 | はこ	box; case; chest; package; pack, car (of a train, etc.)
通う | かよ	to go to and from (a place); to go back and forth between; to run between (e.g. bus, train, etc.); to ply between, to go to (school, work, etc.); to attend; to commute; to frequent
発表 | はっぴょう	announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling
人間 | にんげん	human being; person; man; mankind; humankind, character (of a person)
食品 | しょくひん	food; food products; foodstuffs
地球 | ちきゅう	the earth; the globe
小学校 | しょうがっこう	primary school; elementary school; grade school
地域 | ちいき	area; region
決定 | けってい	decision; determination
全体 | ぜんたい	whole; entirety; whatever (is the matter)
おかしい	funny; amusing; comical; laughable; ridiculous, strange; odd; funny; peculiar; weird; unusual; eccentric
代表 | だいひょう	representative; representation; delegation; type; example; model
時 | とき	time; hour; moment, occasion; case
つまり	that is to say; that is; in other words; I mean, in short; in brief; to sum up; ultimately; in the end; in the long run; when all is said and done; what it all comes down to; when you get right down to it; basically
判断 | はんだん	judgment; judgement; decision; conclusion; adjudication, divination
茶 | ちゃ	tea, tea plant (Camellia sinensis)
全国 | ぜんこく	countrywide; nationwide; whole country; national
非常 | ひじょう	emergency, extraordinary; unusual
確か | たし	sure; certain; positive; definite, reliable; trustworthy; safe; sound; firm; accurate; correct; exact
身長 | しんちょう	height (of body); stature
森 | もり	forest, shrine grove
天 | てん	sky, heaven
相談 | そうだん	consultation; discussion
歌手 | かしゅ	singer
中止 | ちゅうし	suspension; stoppage; discontinuance; interruption
学習 | がくしゅう	study; learning; tutorial
間 | あいだ	space (between); gap; interval; distance; stretch, period of time (during, while); duration; interval
直接 | ちょくせつ	direct; immediate; personal; firsthand
日記 | にっき	diary; journal
事実 | じじつ	fact; truth; reality
責任 | せきにん	duty; responsibility (incl. supervision of staff), liability; onus
渡す | わた	to ferry across (e.g. a river); to carry across; to traverse, to lay across; to build across
表現 | ひょうげん	expression; presentation, representation; notation
物質 | ぶっしつ	material; substance, matter
階段 | かいだん	stairs; stairway; staircase
報告 | ほうこく	report; information
都市 | とし	town; city; municipal; urban
絶対 | ぜったい	absolutely; unconditionally, absolute; unconditional; unmistakable
違い | ちが	difference; discrepancy
最も | もっと	most; extremely
同様 | どうよう	identical; equal to; same (kind); like; similarity
遊び | あそ	playing, play (margin between on and off, gap before pressing button or lever has an effect)
交通 | こうつう	traffic; transportation; communication; exchange (of ideas, etc.); intercourse
年代 | ねんだい	age; era; period; date
寝る | ね	to lie down, to go to bed; to lie in bed
行く | い	to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach, to proceed; to take place
状況 | じょうきょう	state of affairs (around you); situation; circumstances
期待 | きたい	expectation; anticipation; hope
努力 | どりょく	great effort; exertion; endeavour; endeavor; effort
以外 | いがい	with the exception of; excepting
不足 | ふそく	insufficiency; shortage; deficiency; lack; dearth
東 | ひがし	east
お金 | かね	money
大変 | たいへん	very; greatly, immense; enormous; great
線 | せん	line; stripe; stria, line (e.g. telephone line); wire
遅い | おそ	slow, late (e.g. "late at night")
書く | か	to write; to compose; to pen, to draw; to paint
言語 | げんご	language
記録 | きろく	record; minutes; document, a record (e.g. in sports); results; score
記事 | きじ	article; news story; report; account
一般 | いっぱん	general; universal, ordinary; average; common
国民 | こくみん	nation; nationality; people; citizen
複雑 | ふくざつ	complex; complicated; mixed (feelings)
数字 | すうじ	numeral; figure; digit; numeric character
探す | さが	to search (for something desired, needed); to look for, to search (for something lost); to seek (a suspect in a crime)
決して | けっ	never; by no means; not in the least; in no way
国会 | こっかい	National Diet; parliament; congress
昔 | むかし	olden days; former
生きる | い	to live; to exist, to make a living; to subsist
七つ | なな	seven
